Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,3.58E-05,33416.6609,59242.2405,679.547034,0.966327667,0.974772021,1.10783673,3.49E-05,3.96E-05,32569.0206,37041.812
1,3.36E-05,33666.2321,58546.0521,766.061287,0.962291718,0.971846307,1.12203912,3.26E-05,3.76E-05,32723.3787,37749.5923
1,3.64E-05,31279.2173,59930.6442,682.832963,0.97013092,0.977641057,1.09513112,3.56E-05,3.99E-05,30578.564,34264.3547
1,3.64E-05,30839.9183,59502.8665,797.811272,0.967910767,0.97583132,1.10200148,3.55E-05,4.01E-05,30105.1001,33937.0173
1,3.78E-05,29914.7672,59039.1266,817.237666,0.965270996,0.973875999,1.11108622,3.69E-05,4.20E-05,29135.2098,33230.2608
1,3.60E-05,31279.2834,59954.5664,825.881433,0.970336914,0.977740794,1.09409678,3.53E-05,3.93E-05,30580.8912,34230.2827
1,3.54E-05,32700.7429,60152.0191,691.005252,0.971446991,0.978555589,1.09031736,3.46E-05,3.85E-05,31989.612,35701.441
1,3.71E-05,30742.0497,58904.1722,710.199335,0.95872879,0.975436287,1.3127974,3.62E-05,4.46E-05,29961.0725,45487.5124
1,4.20E-05,28621.8176,59578.3524,785.195914,0.968257904,0.976158621,1.10111243,4.09E-05,4.62E-05,27948.2577,31480.4188
1,3.84E-05,29316.6456,58718.436,855.662361,0.963512421,0.972509099,1.1169384,3.74E-05,4.28E-05,28523.5065,32684.4185
1,4.10E-05,28839.9126,58775.0541,766.151869,0.963699341,0.972779141,1.11676434,3.98E-05,4.58E-05,28074.2162,32121.2515
1,3.97E-05,29982.9561,59581.4964,785.635199,0.96830368,0.976182063,1.10074598,3.88E-05,4.37E-05,29269.0066,33000.8643
1,3.57E-05,31653.452,60061.8497,770.340502,0.970989227,0.978178395,1.09174392,3.50E-05,3.90E-05,30965.9153,34541.7092
1,4.12E-05,33938.126,58929.4683,576.134258,0.956932068,0.976258775,1.39016365,4.03E-05,5.05E-05,33072.6914,53461.102
1,3.71E-05,34933.3736,49175.06471,466.2976175,0.812286377,0.968747903,16.08367057,3.62E-05,0.000314253,33611.6543,859210.0498
1,5.30E-05,32137.87582,45196.14121,374.0647706,0.751861572,0.965606305,24.15251279,5.17E-05,0.000478676,30630.52711,1298308.17
1,5.93E-05,30588.2258,39350.12746,281.2456019,0.647521973,0.969505898,53.86238252,5.80E-05,0.001027653,29273.56353,2923643.765
1,3.32E-05,33603.787,59359.177,787.525138,0.967166901,0.975216078,1.10427614,3.23E-05,3.66E-05,32771.4379,37105.568
1,3.73E-05,31864.6152,59671.238,780.109484,0.968837738,0.976540435,1.09885507,3.64E-05,4.09E-05,31108.9837,35047.4448
1,3.67E-05,31425.6659,59659.2597,886.250025,0.968791962,0.976497815,1.09901919,3.58E-05,4.03E-05,30687.8471,34533.9937
1,4.09E-05,29827.993,59890.8422,741.793878,0.968967438,0.977818345,1.11351701,4.00E-05,4.50E-05,29151.7875,33761.04
1,3.98E-05,30342.6775,57854.3997,665.889352,0.941555023,0.975266568,2.07062126,3.89E-05,6.13E-05,29511.7312,86765.6116
1,3.56E-05,33091.045,59924.9621,655.384526,0.970123291,0.977630618,1.09501813,3.49E-05,3.89E-05,32319.7304,36375.8632
1,3.87E-05,32794.2882,58265.0322,588.317471,0.949687958,0.9747755,1.64048457,3.78E-05,5.22E-05,31888.1362,65851.6993
1,4.26E-05,34021.2322,56670.4084,502.425403,0.93132019,0.971182722,1.92007244,4.16E-05,6.14E-05,32812.7766,82850.1196
1,3.78E-05,31760.207,60360.7429,833.619989,0.9725914,0.979441,1.08655923,3.70E-05,4.12E-05,31108.341,34504.5994
1,3.42E-05,32929.8632,60411.3961,838.492258,0.972999573,0.979613924,1.0847833,3.35E-05,3.70E-05,32250.1179,35755.6759
1,3.48E-05,34195.0229,58817.7349,762.567995,0.960166931,0.974209058,1.1779878,3.39E-05,3.95E-05,33218.1941,42103.7671
1,3.36E-05,35573.1831,58015.592,777.675179,0.945114136,0.974867039,1.88653431,3.27E-05,5.13E-05,34603.5728,82396.9381
1,3.39E-05,35107.28821,53779.72405,653.5266877,0.882110596,0.97175282,8.076499676,3.31E-05,0.000164415,33960.15421,420906.195
1,3.90E-05,33779.40863,55352.44774,654.1394992,0.907039642,0.972346571,4.147006212,3.80E-05,9.84E-05,32712.93645,204211.334
1,3.40E-05,33493.03421,52110.36735,645.2742781,0.859119415,0.969886619,10.79950613,3.31E-05,0.000214506,32357.24034,567903.4279
1,3.25E-05,35356.8699,54555.04371,715.1010818,0.898780823,0.970175722,6.215670906,3.16E-05,0.000129185,34178.00612,319013.3896
1,3.28E-05,34278.2653,59816.536,752.328681,0.969615936,0.977163523,1.0964054,3.21E-05,3.59E-05,33480.5986,37655.8418
1,4.43E-05,30267.979,58160.049,581.134061,0.94304657,0.976640495,1.9806466,4.33E-05,6.43E-05,29450.3625,82026.0969
1,5.59E-05,28203.40309,55686.0561,432.7752579,0.915088654,0.971081308,2.673463744,5.46E-05,8.99E-05,27119.44433,117739.2127
1,4.93E-05,29446.83368,54867.48756,469.6214031,0.89749527,0.972849212,4.141379626,4.82E-05,0.000109339,28448.50672,199415.7003
1,3.89E-05,31258.5272,60073.8164,695.240876,0.971027374,0.978217682,1.09174731,3.81E-05,4.25E-05,30571.9801,34149.8038
1,3.69E-05,31962.2487,59634.0402,761.850564,0.9686203,0.976384381,1.09961261,3.60E-05,4.04E-05,31200.9008,35175.2066
1,3.16E-05,36205.1047,59226.9466,805.630136,0.966384888,0.974672881,1.10710562,3.08E-05,3.50E-05,35261.0372,40202.3429
1,3.16E-05,33834.4529,59853.14,928.16177,0.969867706,0.977294524,1.09542049,3.09E-05,3.46E-05,33061.6812,37081.8156
